,Customer_ID,Age,Years_in_Business,Monthly_MPesa_Inflow,Airtime_Spend,Loan_Amount_Requested,Default_Status,Region
0,1001,69.0,10,49953.0,640.0,50000,1,Mombasa
2,1003,78.0,1,37600.0,849.0,KES 5000,1,Nairobi
3,1004,38.0,4,24131.5,686.0,50000,1,Nairobi
4,1005,41.0,9,24131.5,453.0,50000,1,Nairobi
6,1007,39.0,8,59217.0,279.0,10000,0,Mombasa
7,1008,70.0,5,20272.0,335.0,5000,1,Nairobi
8,1009,19.0,1,7520.0,378.0,50000,0,Nairobi
9,1010,47.0,0,4767.0,394.0,10000,0,Mombasa
11,1012,19.0,8,19571.0,745.0,20000,0,Mombasa
12,1013,81.0,5,28432.0,448.0,20000,1,Nairobi
13,1014,77.0,9,13745.0,571.0,5000,1,Mombasa
14,1015,38.0,11,13969.0,386.0,2000,0,Nairobi
15,1016,50.0,6,17195.0,136.0,5000,1,Nairobi
16,1017,75.0,4,24616.0,554.0,KES 5000,0,Mombasa
17,1018,39.0,9,64735.0,118.0,2000,1,Mombasa
18,1019,66.0,5,3701.0,486.0,2000,1,Nairobi
19,1020,76.0,4,40615.0,226.0,10000,1,Nairobi
20,1021,59.0,10,37882.0,897.0,10000,0,Mombasa
21,1022,77.0,8,20419.0,682.0,2000,0,Nairobi
24,1025,79.0,10,37312.0,331.0,KES 5000,0,Mombasa
26,1027,79.0,1,24131.5,540.0,5000,0,Nairobi
27,1028,68.0,11,3245.0,553.0,5000,1,Nairobi
28,1029,72.0,12,33499.0,754.0,50000,1,Mombasa
30,1031,20.0,4,5142.0,558.0,20000,0,Nairobi
31,1032,68.0,6,10536.0,169.0,5000,1,Nairobi
32,1033,24.0,9,37261.0,308.0,KES 50000,1,Nairobi
34,1035,56.0,0,10888.0,519.0,5000,0,Nairobi
36,1037,21.0,4,23573.0,982.0,2000,0,Nairobi
37,1038,77.0,11,35298.0,803.0,KES 5000,1,Nairobi
38,1039,31.0,13,27794.0,620.0,5000,0,Nairobi
40,1041,70.0,13,33602.0,458.0,KES 10000,0,Nairobi
41,1042,19.0,1,54518.0,310.0,10000,0,Mombasa
43,1044,61.0,5,42440.0,552.0,20000,0,Mombasa
44,1045,25.0,10,13736.0,252.0,2000,1,Mombasa
46,1047,52.0,2,12147.0,469.0,5000,1,Mombasa
47,1048,53.0,4,97470.0,118.0,KES 10000,1,Mombasa
48,1049,67.0,3,7875.0,328.0,20000,0,Mombasa
49,1050,21.0,2,18751.0,417.0,50000,1,Nairobi
50,1051,19.0,9,34851.0,878.0,20000,0,Nairobi
52,1053,71.0,4,71455.0,233.0,50000,1,Mombasa
53,1054,21.0,10,65251.0,597.0,20000,1,Nairobi
54,1055,71.0,7,24131.5,191.0,20000,0,Nairobi
55,1056,80.0,10,12828.0,717.0,50000,1,Mombasa
56,1057,35.0,3,49075.0,406.0,5000,0,Nairobi
57,1058,61.0,0,53054.0,481.0,20000,1,Mombasa
58,1059,51.0,10,31332.0,765.0,50000,1,Nairobi
59,1060,79.0,6,16017.0,243.0,5000,1,Nairobi
60,1061,31.0,7,9168.0,221.0,50000,1,Mombasa
61,1062,65.0,2,13601.0,383.0,50000,1,Nairobi
62,1063,32.0,5,12994.0,708.0,20000,1,Mombasa
63,1064,79.0,1,24131.5,196.0,5000,0,Nairobi
66,1067,41.0,7,8474.0,610.0,2000,1,Nairobi
67,1068,43.0,5,41018.0,740.0,5000,0,Nairobi
68,1069,77.0,5,84814.0,407.0,50000,1,Nairobi
69,1070,58.0,4,26914.0,418.0,20000,0,Nairobi
70,1071,46.0,7,13997.0,731.0,20000,0,Nairobi
71,1072,32.0,0,10304.0,126.0,KES 5000,1,Mombasa
72,1073,62.0,9,39277.0,422.0,5000,1,Mombasa
73,1074,82.0,3,69909.0,538.0,2000,0,Nairobi
75,1076,18.0,3,16021.0,398.0,5000,0,Mombasa
76,1077,25.0,2,26440.0,507.0,10000,0,Mombasa
77,1078,80.0,2,43353.0,2.0,5000,1,Nairobi
78,1079,28.0,3,13118.0,368.0,50000,0,Nairobi
79,1080,25.0,10,29623.0,591.0,50000,1,Mombasa
80,1081,52.0,0,36079.0,304.0,2000,1,Mombasa
81,1082,52.0,13,38059.0,512.0,2000,0,Nairobi
82,1083,50.0,10,9471.0,589.0,10000,1,Nairobi
83,1084,22.0,12,11425.0,431.0,5000,0,Nairobi
84,1085,58.0,10,26727.0,534.0,20000,1,Mombasa
85,1086,45.0,1,41372.0,307.0,2000,1,Mombasa
86,1087,24.0,8,24131.5,459.0,KES 20000,0,Nairobi
87,1088,29.0,9,8867.0,622.0,KES 20000,1,Mombasa
88,1089,51.0,1,30189.0,531.0,5000,1,Mombasa
89,1090,50.0,4,24970.0,383.0,10000,0,Nairobi
90,1091,65.0,8,17432.0,545.0,5000,1,Nairobi
91,1092,40.0,8,55069.0,643.0,2000,1,Nairobi
92,1093,79.0,7,37702.0,90.0,KES 20000,0,Mombasa
94,1095,61.0,0,8330.0,433.0,5000,1,Nairobi
95,1096,52.0,8,18768.0,585.0,KES 5000,1,Mombasa
96,1097,82.0,12,24131.5,739.0,KES 2000,1,Mombasa
98,1099,20.0,7,109555.0,358.0,KES 5000,1,Mombasa
99,1100,18.0,9,19627.0,442.0,KES 2000,1,Nairobi
100,1101,22.0,8,1052.0,343.0,20000,1,Mombasa
102,1103,44.0,2,36178.0,329.0,2000,1,Mombasa
103,1104,26.0,2,26060.0,389.0,KES 50000,1,Nairobi
104,1105,32.0,1,411.0,541.0,5000,0,Nairobi
105,1106,59.0,4,31120.0,260.0,5000,0,Mombasa
106,1107,68.0,11,36986.0,421.0,KES 2000,1,Mombasa
107,1108,80.0,11,7481.0,563.0,KES 50000,1,Nairobi
108,1109,69.0,2,13895.0,433.0,5000,0,Mombasa
109,1110,21.0,13,23806.0,481.0,KES 20000,0,Nairobi
111,1112,32.0,1,17857.0,197.0,KES 10000,1,Mombasa
112,1113,60.0,11,31326.0,564.0,5000,1,Nairobi
113,1114,46.0,2,14705.0,851.0,50000,1,Mombasa
114,1115,53.0,4,5505.0,504.0,5000,1,Mombasa
115,1116,30.0,11,47159.0,545.0,50000,0,Nairobi
116,1117,49.0,10,9743.0,639.0,20000,0,Mombasa
118,1119,45.0,0,16410.0,841.0,5000,0,Nairobi
119,1120,83.0,12,24131.5,540.0,20000,1,Mombasa
120,1121,59.0,0,46167.0,826.0,KES 2000,1,Mombasa
121,1122,62.0,9,42855.0,353.0,10000,0,Mombasa
122,1123,79.0,8,18158.0,864.0,5000,0,Mombasa
123,1124,74.0,6,24131.5,655.0,5000,0,Nairobi
124,1125,23.0,0,27168.0,611.0,5000,0,Nairobi
125,1126,45.0,14,8992.0,547.0,20000,0,Nairobi
126,1127,45.0,11,10268.0,450.0,2000,1,Nairobi
127,1128,61.0,13,24406.0,740.0,KES 50000,1,Nairobi
128,1129,47.0,7,8283.0,528.0,2000,0,Mombasa
129,1130,79.0,2,24232.0,107.0,20000,0,Mombasa
130,1131,79.0,7,1666.0,277.0,5000,0,Mombasa
131,1132,18.0,14,17336.0,463.0,10000,1,Nairobi
132,1133,44.0,4,30933.0,562.0,5000,1,Mombasa
133,1134,79.0,0,29229.0,489.0,KES 50000,1,Mombasa
134,1135,20.0,6,24131.5,744.0,10000,0,Nairobi
135,1136,44.0,4,8971.0,110.0,5000,1,Nairobi
136,1137,26.0,5,24131.5,529.0,10000,0,Nairobi
137,1138,79.0,5,47423.0,136.0,2000,1,Mombasa
138,1139,54.0,7,30747.0,652.0,20000,1,Mombasa
140,1141,61.0,1,8299.0,584.0,50000,0,Nairobi
141,1142,41.0,8,24131.5,327.0,2000,0,Mombasa
143,1144,49.0,14,26785.0,708.0,2000,0,Mombasa
144,1145,69.0,10,12457.0,617.0,50000,0,Nairobi
145,1146,79.0,9,59529.0,474.0,5000,0,Nairobi
146,1147,75.0,8,40623.0,616.0,50000,0,Nairobi
147,1148,69.0,12,54792.0,359.0,10000,0,Nairobi
148,1149,29.0,9,30880.0,671.0,50000,0,Mombasa
149,1150,56.0,14,13645.0,830.0,10000,0,Nairobi
150,1151,19.0,9,24131.5,714.0,KES 5000,1,Mombasa
153,1154,76.0,6,11018.0,241.0,5000,1,Mombasa
154,1155,19.0,9,15319.0,614.0,20000,1,Nairobi
155,1156,19.0,4,25755.0,590.0,5000,1,Mombasa
157,1158,18.0,9,78536.0,268.0,20000,0,Mombasa
158,1159,36.0,6,11844.0,443.0,20000,1,Nairobi
159,1160,19.0,13,24131.5,440.0,5000,1,Mombasa
160,1161,70.0,14,15160.0,258.0,50000,0,Nairobi
162,1163,49.0,6,37983.0,550.0,20000,0,Mombasa
163,1164,49.0,8,27971.0,461.0,5000,1,Nairobi
164,1165,72.0,2,29301.0,349.0,50000,0,Nairobi
165,1166,73.0,7,21947.0,710.0,5000,1,Nairobi
166,1167,34.0,1,31364.0,831.0,5000,0,Mombasa
167,1168,55.0,10,30511.0,403.0,KES 20000,0,Mombasa
168,1169,41.0,6,44980.0,378.0,20000,1,Mombasa
169,1170,28.0,12,12322.0,598.0,2000,0,Nairobi
170,1171,33.0,1,46458.0,428.0,50000,0,Mombasa
