Customer_ID,Age,Years_in_Business,Monthly_MPesa_Inflow,Airtime_Spend,Loan_Amount_Requested,Default_Status,Region
1001,69.0,10,49953.0,640.0,50000,1,mombasa
1002,32.0,5,20424.0,,KES 2000,0,Nairobi
1003,78.0,1,37600.0,849.0,KES 5000,1,nairobi
1004,38.0,4,,686.0,50000,1,nairobi
1005,41.0,9,,453.0,50000,1,nairobi
1006,20.0,3,5000000.0,,2000,1,NRB
1007,39.0,8,59217.0,279.0,10000,0,MSA
1008,70.0,5,20272.0,335.0,5000,1,nairobi
1009,19.0,1,7520.0,378.0,50000,0,Nairobi
1010,47.0,0,4767.0,394.0,10000,0,mombasa
1011,-25.0,4,5375.0,,5000,0,MSA
1012,19.0,8,19571.0,745.0,20000,0,MSA
1013,81.0,5,28432.0,448.0,20000,1,NRB
1014,77.0,9,13745.0,571.0,5000,1,Mombasa
1015,38.0,11,13969.0,386.0,2000,0,Nairobi
1016,50.0,6,17195.0,136.0,5000,1,Nairobi
1017,75.0,4,24616.0,554.0,KES 5000,0,MSA
1018,39.0,9,64735.0,118.0,2000,1,Mombasa
1019,66.0,5,3701.0,486.0,2000,1,nairobi
1020,76.0,4,40615.0,226.0,10000,1,nairobi
1021,59.0,10,37882.0,897.0,10000,0,Mombasa
1022,77.0,8,20419.0,682.0,2000,0,Nairobi
1023,32.0,14,33387.0,,20000,1,MSA
1024,,5,21518.0,753.0,20000,0,Mombasa
1025,79.0,10,37312.0,331.0,KES 5000,0,Mombasa
1026,,7,11647.0,609.0,50000,1,mombasa
1027,79.0,1,,540.0,5000,0,nairobi
1028,68.0,11,3245.0,553.0,5000,1,Nairobi
1029,72.0,12,33499.0,754.0,50000,1,Mombasa
1030,81.0,8,15042.0,,2000,1,nairobi
1031,20.0,4,5142.0,558.0,20000,0,NRB
1032,68.0,6,10536.0,169.0,5000,1,nairobi
1033,24.0,9,37261.0,308.0,KES 50000,1,nairobi
1034,,12,28238.0,475.0,10000,0,mombasa
1035,56.0,0,10888.0,519.0,5000,0,NRB
1036,,9,62999.0,274.0,20000,0,mombasa
1037,21.0,4,23573.0,982.0,2000,0,Nairobi
1038,77.0,11,35298.0,803.0,KES 5000,1,Nairobi
1039,31.0,13,27794.0,620.0,5000,0,Nairobi
1040,,9,,514.0,50000,0,nairobi
1041,70.0,13,33602.0,458.0,KES 10000,0,Nairobi
1042,19.0,1,54518.0,310.0,10000,0,mombasa
1043,77.0,11,19614.0,,2000,1,nairobi
1044,61.0,5,42440.0,552.0,20000,0,MSA
1045,25.0,10,13736.0,252.0,2000,1,mombasa
1046,64.0,0,79383.0,,5000,0,mombasa
1047,52.0,2,12147.0,469.0,5000,1,mombasa
1048,53.0,4,97470.0,118.0,KES 10000,1,mombasa
1049,67.0,3,7875.0,328.0,20000,0,mombasa
1050,21.0,2,18751.0,417.0,50000,1,Nairobi
1051,19.0,9,34851.0,878.0,20000,0,NRB
1052,23.0,12,57002.0,,5000,1,mombasa
1053,71.0,4,71455.0,233.0,50000,1,Mombasa
1054,21.0,10,65251.0,597.0,20000,1,Nairobi
1055,71.0,7,,191.0,20000,0,nairobi
1056,80.0,10,12828.0,717.0,50000,1,MSA
1057,35.0,3,49075.0,406.0,5000,0,NRB
1058,61.0,0,53054.0,481.0,20000,1,Mombasa
1059,51.0,10,31332.0,765.0,50000,1,Nairobi
1060,79.0,6,16017.0,243.0,5000,1,nairobi
1061,31.0,7,9168.0,221.0,50000,1,MSA
1062,65.0,2,13601.0,383.0,50000,1,nairobi
1063,32.0,5,12994.0,708.0,20000,1,Mombasa
1064,79.0,1,,196.0,5000,0,nairobi
1065,57.0,6,50754.0,,20000,0,Mombasa
1066,,14,27161.0,410.0,2000,0,nairobi
1067,41.0,7,8474.0,610.0,2000,1,Nairobi
1068,43.0,5,41018.0,740.0,5000,0,NRB
1069,77.0,5,84814.0,407.0,50000,1,nairobi
1070,58.0,4,26914.0,418.0,20000,0,Nairobi
1071,46.0,7,13997.0,731.0,20000,0,NRB
1072,32.0,0,10304.0,126.0,KES 5000,1,Mombasa
1073,62.0,9,39277.0,422.0,5000,1,Mombasa
1074,82.0,3,69909.0,538.0,2000,0,nairobi
1075,,14,19517.0,590.0,KES 10000,0,NRB
1076,18.0,3,16021.0,398.0,5000,0,mombasa
1077,25.0,2,26440.0,507.0,10000,0,MSA
1078,80.0,2,43353.0,2.0,5000,1,NRB
1079,28.0,3,13118.0,368.0,50000,0,NRB
1080,25.0,10,29623.0,591.0,50000,1,Mombasa
1081,52.0,0,36079.0,304.0,2000,1,Mombasa
1082,52.0,13,38059.0,512.0,2000,0,Nairobi
1083,50.0,10,9471.0,589.0,10000,1,NRB
1084,22.0,12,11425.0,431.0,5000,0,NRB
1085,58.0,10,26727.0,534.0,20000,1,MSA
1086,45.0,1,41372.0,307.0,2000,1,MSA
1087,24.0,8,,459.0,KES 20000,0,nairobi
1088,29.0,9,8867.0,622.0,KES 20000,1,mombasa
1089,51.0,1,30189.0,531.0,5000,1,Mombasa
1090,50.0,4,24970.0,383.0,10000,0,NRB
1091,65.0,8,17432.0,545.0,5000,1,NRB
1092,40.0,8,55069.0,643.0,2000,1,Nairobi
1093,79.0,7,37702.0,90.0,KES 20000,0,mombasa
1094,54.0,0,38501.0,,5000,0,NRB
1095,61.0,0,8330.0,433.0,5000,1,Nairobi
1096,52.0,8,18768.0,585.0,KES 5000,1,mombasa
1097,82.0,12,,739.0,KES 2000,1,Mombasa
1098,,10,28449.0,,10000,0,Nairobi
1099,20.0,7,109555.0,358.0,KES 5000,1,Mombasa
1100,18.0,9,19627.0,442.0,KES 2000,1,nairobi
1101,22.0,8,1052.0,343.0,20000,1,Mombasa
1102,31.0,6,,,50000,1,nairobi
1103,44.0,2,36178.0,329.0,2000,1,MSA
1104,26.0,2,26060.0,389.0,KES 50000,1,nairobi
1105,32.0,1,411.0,541.0,5000,0,NRB
1106,59.0,4,31120.0,260.0,5000,0,mombasa
1107,68.0,11,36986.0,421.0,KES 2000,1,mombasa
1108,80.0,11,7481.0,563.0,KES 50000,1,NRB
1109,69.0,2,13895.0,433.0,5000,0,Mombasa
1110,21.0,13,23806.0,481.0,KES 20000,0,Nairobi
1111,40.0,5,15596.0,,KES 10000,0,mombasa
1112,32.0,1,17857.0,197.0,KES 10000,1,Mombasa
1113,60.0,11,31326.0,564.0,5000,1,NRB
1114,46.0,2,14705.0,851.0,50000,1,MSA
1115,53.0,4,5505.0,504.0,5000,1,MSA
1116,30.0,11,47159.0,545.0,50000,0,nairobi
1117,49.0,10,9743.0,639.0,20000,0,Mombasa
1118,76.0,10,21168.0,,50000,0,NRB
1119,45.0,0,16410.0,841.0,5000,0,Nairobi
1120,83.0,12,,540.0,20000,1,MSA
1121,59.0,0,46167.0,826.0,KES 2000,1,Mombasa
1122,62.0,9,42855.0,353.0,10000,0,MSA
1123,79.0,8,18158.0,864.0,5000,0,Mombasa
